anio,mes,prov_id,grupo_edad,sexo,pob_mensual
2010,2,54,40 a 49 años,Femenino,57914.6328767123
2010,2,54,40 a 49 años,Masculino,57036.1150684932
2010,2,54,50 a 59 años,Femenino,45190.6684931507
2010,2,54,50 a 59 años,Masculino,46227.6356164384
2010,2,54,60 a 69 años,Femenino,28434.2739726027
2010,2,54,60 a 69 años,Masculino,28141.4794520548
2010,2,54,70 a 79 años,Femenino,17147.597260274
2010,2,54,70 a 79 años,Masculino,14919.2164383562
2010,2,54,80+ años,Femenino,8004.32328767123
2010,2,54,80+ años,Masculino,5482.98630136986
2010,2,58,20 a 39 años,Femenino,92468.9287671233
2010,2,58,20 a 39 años,Masculino,91794.2273972603
2010,2,58,40 a 49 años,Femenino,34911.4630136986
2010,2,58,40 a 49 años,Masculino,33358.5178082192
2010,2,58,50 a 59 años,Femenino,26748.2575342466
2010,2,58,50 a 59 años,Masculino,26043.7808219178
2010,2,58,60 a 69 años,Femenino,16728.9561643836
2010,2,58,60 a 69 años,Masculino,16000.2739726027
2010,2,58,70 a 79 años,Femenino,9033.59452054795
2010,2,58,70 a 79 años,Masculino,7398.26301369863
2010,2,58,80+ años,Femenino,4669.40273972603
2010,2,58,80+ años,Masculino,2674.8904109589
2010,2,62,20 a 39 años,Femenino,99288.8383561644
2010,2,62,20 a 39 años,Masculino,98898.6821917808
2010,2,62,40 a 49 años,Femenino,38772.0630136986
2010,2,62,40 a 49 años,Masculino,37492.6493150685
2010,2,62,50 a 59 años,Femenino,31744.5753424658
2010,2,62,50 a 59 años,Masculino,30962.5150684932
2010,2,62,60 a 69 años,Femenino,22371.0219178082
2010,2,62,60 a 69 años,Masculino,21391.5671232877
2010,2,62,70 a 79 años,Femenino,13181.5287671233
2010,2,62,70 a 79 años,Masculino,11086.9150684932
2010,2,62,80+ años,Femenino,7352.07397260274
2010,2,62,80+ años,Masculino,4379.17534246575
2010,2,66,20 a 39 años,Femenino,187878.219178082
2010,2,66,20 a 39 años,Masculino,180673.383561644
2010,2,66,40 a 49 años,Femenino,63942.3671232877
2010,2,66,40 a 49 años,Masculino,61183.5698630137
2010,2,66,50 a 59 años,Femenino,51225.5068493151
2010,2,66,50 a 59 años,Masculino,48376.8904109589
2010,2,66,60 a 69 años,Femenino,35453.5808219178
2010,2,66,60 a 69 años,Masculino,32391.498630137
2010,2,66,70 a 79 años,Femenino,21184.7698630137
2010,2,66,70 a 79 años,Masculino,17880.4356164384
2010,2,66,80+ años,Femenino,10838.1452054795
2010,2,66,80+ años,Masculino,6817.54520547945
2010,2,70,20 a 39 años,Femenino,102815.249315068
2010,2,70,20 a 39 años,Masculino,103338.443835616
2010,2,70,40 a 49 años,Femenino,37789.0931506849
2010,2,70,40 a 49 años,Masculino,35520.6712328767
2010,2,70,50 a 59 años,Femenino,33643.0164383562
2010,2,70,50 a 59 años,Masculino,30084.8931506849
2010,2,70,60 a 69 años,Femenino,26017.397260274
2010,2,70,60 a 69 años,Masculino,22317.5452054795
2010,2,70,70 a 79 años,Femenino,15422.1890410959
2010,2,70,70 a 79 años,Masculino,11533.695890411
2010,2,70,80+ años,Femenino,7883.01643835616
2010,2,70,80+ años,Masculino,4524.48493150685
2010,2,74,20 a 39 años,Femenino,66596.2575342466
2010,2,74,20 a 39 años,Masculino,65966.2767123288
2010,2,74,40 a 49 años,Femenino,24897.8219178082
2010,2,74,40 a 49 años,Masculino,25014.8136986301
2010,2,74,50 a 59 años,Femenino,21025.501369863
2010,2,74,50 a 59 años,Masculino,20544.104109589
2010,2,74,60 a 69 años,Femenino,15821.6273972603
2010,2,74,60 a 69 años,Masculino,14633.6547945205
2010,2,74,70 a 79 años,Femenino,9532.56438356165
2010,2,74,70 a 79 años,Masculino,7573.63835616438
2010,2,74,80+ años,Femenino,5385.44931506849
2010,2,74,80+ años,Masculino,2840.63561643836
2010,2,78,20 a 39 años,Femenino,44924.6739726027
2010,2,78,20 a 39 años,Masculino,49208.3452054795
2010,2,78,40 a 49 años,Femenino,15338.1917808219
2010,2,78,40 a 49 años,Masculino,16645.4
2010,2,78,50 a 59 años,Femenino,11033.7287671233
2010,2,78,50 a 59 años,Masculino,12175.0794520548
2010,2,78,60 a 69 años,Femenino,6626.07397260274
2010,2,78,60 a 69 años,Masculino,6486.28219178082
2010,2,78,70 a 79 años,Femenino,3525.58904109589
2010,2,78,70 a 79 años,Masculino,3068.21917808219
2010,2,78,80+ años,Femenino,1503.66301369863
2010,2,78,80+ años,Masculino,988.92602739726
2010,2,82,20 a 39 años,Femenino,501192.904109589
2010,2,82,20 a 39 años,Masculino,497752.887671233
2010,2,82,40 a 49 años,Femenino,187261.276712329
2010,2,82,40 a 49 años,Masculino,179751.98630137
2010,2,82,50 a 59 años,Femenino,170488.202739726
2010,2,82,50 a 59 años,Masculino,158866.147945205
2010,2,82,60 a 69 años,Femenino,137176.975342466
2010,2,82,60 a 69 años,Masculino,116847.898630137
2010,2,82,70 a 79 años,Femenino,100896.55890411
2010,2,82,70 a 79 años,Masculino,69953.8904109589
2010,2,82,80+ años,Femenino,67417.3726027397
2010,2,82,80+ años,Masculino,30975.701369863
2010,2,86,20 a 39 años,Femenino,129848.421917808
2010,2,86,20 a 39 años,Masculino,126897.857534247
2010,2,86,40 a 49 años,Femenino,42696.7479452055
2010,2,86,40 a 49 años,Masculino,43362.698630137
2010,2,86,50 a 59 años,Femenino,36323.3534246575
2010,2,86,50 a 59 años,Masculino,36936.0465753425
2010,2,86,60 a 69 años,Femenino,25843.9342465753
2010,2,86,60 a 69 años,Masculino,25105.3123287671
2010,2,86,70 a 79 años,Femenino,16795.3287671233
